YEAR,SERIAL,PERNUM,PERWT,SPLOC,SEX,AGE,MARST,RACE,HISPAN,BPL,BPLD,NATIVITY,RACE_SP,HISPAN_SP,BPL_SP,BPLD_SP,NATIVITY_SP,REGION,REGION_SP,COUNTRY,COUNTRY_SP,SPOUSE_CATEGORY,MARRIAGE_TYPE
2000,5758253,1,11.0,2,1,55,1.0,1,0,260,26094,,1.0,0.0,24.0,2400.0,,Central America/Caribbean,United States,West Indies (ns),United States,US-Born,Married US-born
1980,3049761,2,20.0,1,2,53,1.0,1,0,414,41400,,1.0,0.0,414.0,41400.0,,United Kingdom,United Kingdom,Code 414,Code 414,Code 414,Same Country
2015,4842865,1,15.0,2,1,49,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2010,1690931,1,10.0,2,2,31,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2023,4261413,2,10.0,1,2,59,1.0,1,0,465,46500,,1.0,0.0,17.0,1700.0,,Spain/Portugal,United States,Spain,United States,US-Born,Married US-born
2020,5865537,1,8.0,2,1,56,1.0,2,0,600,60026,,2.0,0.0,600.0,60026.0,,Africa,Africa,Africa (ns),Africa (ns),Africa (ns),Same Country
2015,659708,1,14.0,2,1,33,1.0,1,0,454,45400,,1.0,0.0,454.0,45400.0,,Central Europe,Central Europe,Bulgaria,Bulgaria,Bulgaria,Same Country
2000,2525173,1,24.0,2,1,33,1.0,3,1,200,20000,,3.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,3942232,1,16.0,2,1,35,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2015,1710001,1,48.0,2,1,44,1.0,1,3,250,25000,,1.0,4.0,300.0,30025.0,,Central America/Caribbean,South America,Cuba,South America (ns),South America (ns),Different Region
1980,664944,1,20.0,2,1,83,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,3996091,2,25.0,1,1,48,1.0,2,0,260,26020,,1.0,0.0,39.0,3900.0,,Central America/Caribbean,United States,West Indies (ns),United States,US-Born,Married US-born
2023,4204252,1,50.0,2,2,68,1.0,7,2,110,11000,,7.0,2.0,56.0,5600.0,,US Territory,United States,Puerto Rico,United States,US-Born,Married US-born
2010,678547,2,15.0,1,1,34,1.0,1,1,200,20000,,1.0,1.0,48.0,4800.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2010,1212057,1,13.0,2,1,71,1.0,1,0,414,41400,,1.0,0.0,36.0,3600.0,,United Kingdom,United States,Code 414,United States,US-Born,Married US-born
1930,955121,2,20.3,1,2,52,1.0,1,0,434,43400,5.0,1.0,0.0,434.0,43400.0,5.0,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
2023,703991,2,37.0,1,2,56,1.0,7,4,300,30050,,7.0,4.0,300.0,30050.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2020,6358758,1,13.0,2,2,66,1.0,1,0,453,45300,,1.0,0.0,51.0,5100.0,,Poland,United States,Poland,United States,US-Born,Married US-born
2010,3319291,1,19.0,2,1,46,1.0,6,0,515,51500,,1.0,0.0,456.0,45600.0,,Philippines,Central Europe,Philippines,Albania,Albania,Different Region
1990,5350936,2,24.0,1,2,51,1.0,7,4,210,21050,,1.0,0.0,55.0,5500.0,,Central America/Caribbean,United States,Central America (ns),United States,US-Born,Married US-born
2010,381737,2,18.0,1,1,33,1.0,1,0,410,41000,,1.0,0.0,6.0,600.0,,Ireland,United States,Ireland,United States,US-Born,Married US-born
2010,459591,1,13.0,2,1,46,1.0,4,0,500,50010,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2020,6205081,4,18.0,3,2,55,1.0,6,0,521,52140,,6.0,0.0,521.0,52140.0,,India,India,India,India,India,Same Country
2015,4286951,1,7.0,2,1,56,1.0,1,0,521,52100,,1.0,0.0,36.0,3600.0,,India,United States,India,United States,US-Born,Married US-born
2000,4818759,2,21.0,1,2,47,1.0,1,0,150,15000,,1.0,0.0,150.0,15000.0,,Canada,Canada,Canada,Canada,Canada,Same Country
2010,1206834,1,9.0,2,1,54,1.0,7,4,210,21050,,7.0,4.0,210.0,21050.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
2010,870180,2,12.0,1,2,45,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2010,5862720,1,24.0,2,1,39,1.0,7,4,210,21030,,7.0,4.0,210.0,21030.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
2023,6144330,2,25.0,1,2,38,1.0,8,1,200,20000,,8.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1930,279290,1,20.18,2,1,23,1.0,1,0,452,45200,5.0,1.0,0.0,17.0,1700.0,1.0,Central Europe,United States,Czechoslovakia,United States,US-Born,Married US-born
2010,895283,2,27.0,1,1,42,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2020,4031351,1,9.0,2,2,82,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2010,3464570,2,20.0,1,1,40,1.0,6,0,517,51700,,6.0,0.0,517.0,51700.0,,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Same Country
2000,877950,2,23.0,1,1,57,1.0,1,0,434,43400,,1.0,0.0,36.0,3600.0,,Scandinavia,United States,Iceland,United States,US-Born,Married US-born
2023,3969354,1,134.0,2,2,44,1.0,2,0,600,60045,,2.0,0.0,600.0,60045.0,,Africa,Africa,Africa (ns),Africa (ns),Africa (ns),Same Country
2020,1040205,1,7.0,2,1,71,1.0,4,0,500,50040,,4.0,0.0,500.0,50040.0,,China,China,China,China,China,Same Country
2023,4362190,1,10.0,2,2,71,1.0,1,0,433,43300,,1.0,0.0,433.0,43300.0,,Scandinavia,Scandinavia,Finland,Finland,Finland,Same Country
2015,1801844,2,10.0,1,1,40,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2020,707875,2,71.0,1,2,47,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2020,6047960,2,32.0,1,2,38,1.0,7,1,200,20000,,7.0,1.0,48.0,4800.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
1930,415554,2,20.29,1,2,30,1.0,1,0,452,45200,5.0,1.0,0.0,19.0,1900.0,2.0,Central Europe,United States,Czechoslovakia,United States,US-Born,Married US-born
1990,1218083,3,21.0,5,2,41,1.0,1,3,250,25000,,1.0,3.0,250.0,25000.0,,Central America/Caribbean,Central America/Caribbean,Cuba,Cuba,Cuba,Same Country
2020,1610452,2,21.0,1,1,39,1.0,8,4,300,30065,,8.0,4.0,300.0,30065.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
1990,3325291,2,21.0,1,2,37,1.0,1,4,300,30060,,1.0,4.0,300.0,30060.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2023,2327853,1,14.0,2,2,73,1.0,8,1,200,20000,,8.0,4.0,300.0,30050.0,,Mexico,South America,Mexico,South America (ns),South America (ns),Different Region
2015,651808,2,24.0,1,2,76,1.0,1,0,455,45500,,1.0,0.0,17.0,1700.0,,Central Europe,United States,Romania,United States,US-Born,Married US-born
1930,1324226,1,20.17,2,1,40,1.0,1,0,462,46200,5.0,1.0,0.0,462.0,46200.0,5.0,Italy,Italy,Italy,Italy,Italy,Same Country
2015,6432073,5,10.0,3,2,29,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2023,2026589,1,11.0,2,2,62,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
2010,993866,1,22.0,2,1,32,1.0,2,0,600,60023,,1.0,0.0,20.0,2000.0,,Africa,United States,Africa (ns),United States,US-Born,Married US-born
2000,2514062,2,13.0,1,2,42,1.0,1,0,426,42600,,1.0,0.0,426.0,42600.0,,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Same Country
1990,2252056,1,19.0,2,1,45,1.0,1,0,534,53400,,1.0,0.0,534.0,53400.0,,Middle East,Middle East,Syria,Syria,Syria,Same Country
2010,102219,1,12.0,2,2,50,1.0,6,0,521,52140,,6.0,0.0,521.0,52140.0,,India,India,India,India,India,Same Country
1900,545542,2,19.77,1,2,25,1.0,1,0,453,45300,5.0,1.0,0.0,410.0,41000.0,5.0,Poland,Ireland,Poland,Ireland,Ireland,Different Region
2023,5924544,2,77.0,1,2,43,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2020,4425174,1,47.0,2,1,56,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,391595,1,16.0,2,1,34,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2023,484730,2,19.0,1,2,31,1.0,1,0,532,53200,,1.0,0.0,414.0,41400.0,,Middle East,United Kingdom,Israel,Code 414,Code 414,Different Region
2023,5159091,2,9.0,1,1,32,1.0,1,1,200,20000,,1.0,1.0,48.0,4800.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
1940,12592,2,100.0,1,2,62,1.0,1,0,410,41000,0.0,1.0,0.0,410.0,41000.0,5.0,Ireland,Ireland,Ireland,Ireland,Ireland,Same Country
2000,2695079,1,18.0,2,1,62,1.0,1,2,110,11000,,7.0,2.0,110.0,11000.0,,US Territory,US Territory,Puerto Rico,Puerto Rico,Puerto Rico,Same Country
2010,3357060,1,20.0,2,1,44,1.0,1,0,457,45740,,1.0,0.0,457.0,45740.0,,Central Europe,Central Europe,Yugoslavia,Yugoslavia,Yugoslavia,Same Country
2020,5619015,1,27.0,2,1,29,1.0,1,4,210,21040,,1.0,4.0,210.0,21040.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
1920,7135302,1,98.63,2,1,41,1.0,1,0,150,15000,5.0,1.0,0.0,150.0,15000.0,5.0,Canada,Canada,Canada,Canada,Canada,Same Country
1990,2992219,2,27.0,1,2,58,1.0,1,3,250,25000,,1.0,3.0,250.0,25000.0,,Central America/Caribbean,Central America/Caribbean,Cuba,Cuba,Cuba,Same Country
2023,897097,2,9.0,1,1,66,1.0,7,4,210,21040,,7.0,4.0,210.0,21040.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
2020,584304,2,7.0,1,2,53,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2015,3787873,2,23.0,1,2,50,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2020,584701,2,21.0,1,1,49,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,4990413,1,14.0,2,1,35,1.0,1,4,210,21060,,1.0,0.0,48.0,4800.0,,Central America/Caribbean,United States,Central America (ns),United States,US-Born,Married US-born
2015,640636,1,24.0,2,1,54,1.0,1,0,522,52200,,1.0,0.0,522.0,52200.0,,South Asia,South Asia,Pakistan,Pakistan,Pakistan,Same Country
1900,486705,1,19.7,2,1,39,1.0,1,0,425,42500,5.0,1.0,0.0,36.0,3600.0,2.0,Austria,United States,Austria,United States,US-Born,Married US-born
2010,6120880,1,16.0,2,1,51,1.0,4,0,500,50040,,4.0,0.0,500.0,50040.0,,China,China,China,China,China,Same Country
2015,646020,1,14.0,2,1,68,1.0,7,4,300,30050,,7.0,4.0,300.0,30050.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2000,587568,1,16.0,2,1,93,1.0,1,0,454,45400,,1.0,0.0,454.0,45400.0,,Central Europe,Central Europe,Bulgaria,Bulgaria,Bulgaria,Same Country
2023,7067984,1,27.0,2,2,32,1.0,6,0,518,51800,,1.0,0.0,55.0,5500.0,,Southeast Asia,United States,Thailand,United States,US-Born,Married US-born
2015,4855697,1,14.0,2,1,86,1.0,1,0,456,45600,,1.0,0.0,454.0,45400.0,,Central Europe,Central Europe,Albania,Bulgaria,Bulgaria,Same Region
2000,568502,1,28.0,2,2,46,1.0,1,4,300,30025,,1.0,4.0,300.0,30025.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2023,421366,2,8.0,1,1,53,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2010,639399,2,15.0,1,2,58,1.0,1,0,600,60019,,1.0,0.0,6.0,600.0,,Africa,United States,Africa (ns),United States,US-Born,Married US-born
1940,217515,1,100.0,2,1,54,1.0,1,0,404,40400,0.0,1.0,0.0,404.0,40400.0,0.0,United Kingdom,United Kingdom,Northern Ireland,Northern Ireland,Northern Ireland,Same Country
1930,1091505,1,20.5,2,1,44,1.0,1,0,455,45500,5.0,1.0,0.0,455.0,45500.0,5.0,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
1930,319178,1,19.5,2,1,59,1.0,1,0,405,40500,5.0,1.0,0.0,405.0,40500.0,5.0,United Kingdom,United Kingdom,United Kingdom (ns),United Kingdom (ns),United Kingdom (ns),Same Country
2010,2769796,1,13.0,2,2,75,1.0,1,0,521,52100,,1.0,0.0,25.0,2500.0,,India,United States,India,United States,US-Born,Married US-born
2010,675633,1,28.0,2,1,33,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,705435,2,13.0,1,2,66,1.0,1,0,465,46500,,1.0,0.0,465.0,46500.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2020,4741850,2,9.0,1,1,32,1.0,1,0,434,43400,,1.0,0.0,434.0,43400.0,,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
2015,1126912,2,14.0,1,2,66,1.0,1,0,150,15000,,1.0,0.0,150.0,15000.0,,Canada,Canada,Canada,Canada,Canada,Same Country
2023,6842071,2,5.0,1,2,63,1.0,1,0,453,45300,,1.0,0.0,42.0,4200.0,,Poland,United States,Poland,United States,US-Born,Married US-born
2023,1680585,1,13.0,2,2,60,1.0,8,4,300,30025,,8.0,4.0,300.0,30025.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2015,945386,2,25.0,1,2,61,1.0,4,0,500,50010,,4.0,0.0,500.0,50010.0,,China,China,China,China,China,Same Country
2023,4206328,1,8.0,2,1,56,1.0,6,0,521,52140,,6.0,0.0,521.0,52140.0,,India,India,India,India,India,Same Country
2015,1390827,1,10.0,2,1,62,1.0,1,4,300,30020,,1.0,4.0,300.0,30020.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2000,338377,1,40.0,2,1,33,1.0,1,3,250,25000,,1.0,0.0,36.0,3600.0,,Central America/Caribbean,United States,Cuba,United States,US-Born,Married US-born
1930,1274905,1,20.02,2,1,74,1.0,1,0,453,45300,5.0,1.0,0.0,23.0,2300.0,1.0,Poland,United States,Poland,United States,US-Born,Married US-born
2023,890770,1,17.0,2,2,42,1.0,8,1,200,20000,,8.0,1.0,6.0,600.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2015,1727392,1,17.0,2,2,42,1.0,1,4,260,26010,,1.0,4.0,260.0,26010.0,,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
2015,1118079,1,20.0,2,1,40,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2020,5382179,1,12.0,2,2,63,1.0,1,0,421,42100,,1.0,0.0,42.0,4200.0,,Germany,United States,Germany,United States,US-Born,Married US-born
2015,752281,1,13.0,2,2,31,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
1910,9730701,1,100.0,2,1,55,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
1980,3769483,2,20.0,1,2,55,1.0,1,0,453,45310,,1.0,0.0,465.0,46530.0,,Poland,Spain/Portugal,Poland,Spain,Spain,Different Region
2015,4212270,1,11.0,2,1,44,1.0,8,0,518,51800,,8.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2015,4287631,2,16.0,1,1,42,1.0,6,0,521,52100,,1.0,0.0,36.0,3600.0,,India,United States,India,United States,US-Born,Married US-born
2020,2855652,2,18.0,1,2,57,1.0,1,0,534,53400,,1.0,0.0,534.0,53400.0,,Middle East,Middle East,Syria,Syria,Syria,Same Country
2010,2839146,2,14.0,1,2,58,1.0,1,0,414,41400,,1.0,0.0,414.0,41400.0,,United Kingdom,United Kingdom,Code 414,Code 414,Code 414,Same Country
2020,1415012,1,83.0,2,1,36,1.0,8,1,200,20000,,8.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1900,303611,2,20.08,1,2,33,1.0,1,0,150,15080,5.0,1.0,0.0,150.0,15080.0,5.0,Canada,Canada,Canada,Canada,Canada,Same Country
2010,460230,2,11.0,1,2,57,1.0,6,0,515,51500,,6.0,4.0,105.0,10500.0,,Philippines,US Territory,Philippines,Hawaii (territory),Hawaii (territory),Different Region
2010,397492,1,21.0,2,2,37,1.0,7,4,210,21030,,7.0,4.0,200.0,20000.0,,Central America/Caribbean,Mexico,Central America (ns),Mexico,Mexico,Different Region
1990,3783744,2,22.0,1,2,36,1.0,1,0,465,46500,,1.0,0.0,465.0,46500.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2010,4043555,2,13.0,1,1,38,1.0,1,0,600,60014,,1.0,0.0,465.0,46500.0,,Africa,Spain/Portugal,Africa (ns),Spain,Spain,Different Region
2015,953993,1,15.0,2,1,68,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2023,2915750,2,13.0,1,2,44,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
1980,4127838,2,20.0,1,2,46,1.0,1,0,150,15000,,1.0,0.0,44.0,4400.0,,Canada,United States,Canada,United States,US-Born,Married US-born
2020,6507703,1,12.0,2,1,58,1.0,7,1,200,20000,,1.0,0.0,53.0,5300.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2023,6724029,2,52.0,1,1,36,1.0,1,4,300,30010,,1.0,4.0,210.0,21030.0,,South America,Central America/Caribbean,South America (ns),Central America (ns),Central America (ns),Different Region
1930,298669,2,20.18,1,2,61,1.0,1,0,414,41400,5.0,1.0,0.0,453.0,45300.0,5.0,United Kingdom,Poland,Code 414,Poland,Poland,Different Region
1980,1043117,1,20.0,2,1,33,1.0,1,0,434,43400,,1.0,0.0,300.0,30005.0,,Scandinavia,South America,Iceland,South America (ns),South America (ns),Different Region
1930,1320048,1,20.51,2,1,53,1.0,1,0,452,45200,5.0,1.0,0.0,452.0,45200.0,5.0,Central Europe,Central Europe,Czechoslovakia,Czechoslovakia,Czechoslovakia,Same Country
2000,925245,2,21.0,1,2,27,1.0,1,0,455,45500,,1.0,0.0,455.0,45500.0,,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
1930,1319319,1,20.51,2,1,47,1.0,1,0,452,45200,5.0,1.0,0.0,452.0,45200.0,5.0,Central Europe,Central Europe,Czechoslovakia,Czechoslovakia,Czechoslovakia,Same Country
2015,3976316,1,14.0,2,2,52,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,3038594,1,20.0,2,2,39,1.0,2,0,260,26030,,2.0,0.0,260.0,26030.0,,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
1980,1101959,1,20.0,2,1,26,1.0,1,0,150,15000,,1.0,0.0,150.0,15000.0,,Canada,Canada,Canada,Canada,Canada,Same Country
1980,593911,2,20.0,1,2,45,1.0,6,0,502,50220,,6.0,0.0,502.0,50220.0,,Korea,Korea,Korea,Korea,Korea,Same Country
2000,1724321,2,33.0,1,2,31,1.0,1,0,300,30025,,1.0,0.0,16.0,1600.0,,South America,United States,South America (ns),United States,US-Born,Married US-born
2023,4775346,2,14.0,1,2,40,1.0,1,0,150,15000,,1.0,0.0,15.0,1500.0,,Canada,United States,Canada,United States,US-Born,Married US-born
