YEAR,SERIAL,PERNUM,PERWT,SPLOC,SEX,AGE,MARST,RACE,HISPAN,BPL,BPLD,NATIVITY,RACE_SP,HISPAN_SP,BPL_SP,BPLD_SP,NATIVITY_SP,REGION,REGION_SP,COUNTRY,COUNTRY_SP,SPOUSE_CATEGORY,MARRIAGE_TYPE
1980,405028,2,20.0,1,2,35,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,910399,2,20.0,1,2,82,1.0,1,0,454,45400,,1.0,0.0,454.0,45400.0,,Central Europe,Central Europe,Bulgaria,Bulgaria,Bulgaria,Same Country
2020,1636407,1,11.0,2,1,61,1.0,4,0,500,50000,,4.0,0.0,518.0,51800.0,,China,Southeast Asia,China,Thailand,Thailand,Different Region
2023,2593458,2,9.0,1,2,60,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,4259992,1,8.0,2,1,58,1.0,1,0,522,52200,,1.0,0.0,522.0,52200.0,,South Asia,South Asia,Pakistan,Pakistan,Pakistan,Same Country
2015,919791,1,21.0,2,2,35,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,3218545,1,34.0,2,1,59,1.0,1,0,150,15000,,1.0,0.0,26.0,2600.0,,Canada,United States,Canada,United States,US-Born,Married US-born
1900,525960,1,19.85,2,1,34,1.0,1,0,405,40500,5.0,1.0,0.0,405.0,40500.0,5.0,United Kingdom,United Kingdom,United Kingdom (ns),United Kingdom (ns),United Kingdom (ns),Same Country
2020,5939814,1,20.0,2,1,47,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,584420,1,19.0,2,2,28,1.0,6,0,515,51500,,2.0,0.0,300.0,30040.0,,Philippines,South America,Philippines,South America (ns),South America (ns),Different Region
2010,3610558,1,23.0,2,2,27,1.0,7,4,300,30050,,1.0,0.0,34.0,3400.0,,South America,United States,South America (ns),United States,US-Born,Married US-born
1930,1238633,2,19.98,1,2,26,1.0,1,0,452,45200,5.0,1.0,0.0,42.0,4200.0,4.0,Central Europe,United States,Czechoslovakia,United States,US-Born,Married US-born
2023,6559945,2,16.0,1,2,72,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
2000,5542316,2,27.0,1,2,39,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2010,755122,1,18.0,2,2,43,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
1930,586698,2,20.04,1,2,35,1.0,1,0,434,43400,5.0,1.0,0.0,434.0,43400.0,5.0,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
2000,515679,1,16.0,2,2,29,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,2272579,2,15.0,1,2,46,1.0,1,0,413,41300,,1.0,0.0,36.0,3600.0,,United Kingdom,United States,United Kingdom (ns),United States,US-Born,Married US-born
1990,909165,1,9.0,2,1,81,1.0,1,0,410,41000,,1.0,0.0,150.0,15000.0,,Ireland,Canada,Ireland,Canada,Canada,Different Region
2010,170622,2,12.0,1,2,56,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
1930,254342,1,20.17,2,1,44,1.0,1,0,421,42100,5.0,1.0,0.0,434.0,43400.0,5.0,Germany,Scandinavia,Germany,Iceland,Iceland,Different Region
1930,277753,1,20.18,2,1,43,1.0,1,0,465,46500,5.0,1.0,0.0,465.0,46500.0,5.0,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2010,408961,4,39.0,2,1,23,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
2023,4775329,2,13.0,1,2,54,1.0,8,1,200,20000,,8.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2020,6348130,2,41.0,1,1,51,1.0,1,0,453,45300,,6.0,0.0,517.0,51700.0,,Poland,Vietnam,Poland,Vietnam,Vietnam,Different Region
2015,4534672,2,9.0,1,2,48,1.0,1,0,453,45300,,1.0,0.0,17.0,1700.0,,Poland,United States,Poland,United States,US-Born,Married US-born
2020,1706248,2,1.0,1,2,68,1.0,8,0,300,30015,,8.0,0.0,300.0,30015.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
2020,5885891,1,27.0,2,1,57,1.0,3,1,200,20000,,3.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,3564134,1,20.0,2,1,24,1.0,1,1,200,20000,,1.0,1.0,48.0,4800.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2023,6046773,1,7.0,2,1,28,1.0,3,1,200,20000,,3.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1940,315314,2,100.0,1,2,48,1.0,1,0,456,45600,5.0,1.0,0.0,17.0,1700.0,0.0,Central Europe,United States,Albania,United States,US-Born,Married US-born
2020,3205895,2,14.0,1,2,54,1.0,1,0,150,15000,,1.0,0.0,26.0,2600.0,,Canada,United States,Canada,United States,US-Born,Married US-born
2015,905518,2,21.0,1,2,38,1.0,6,0,502,50200,,6.0,0.0,502.0,50200.0,,Korea,Korea,Korea,Korea,Korea,Same Country
1920,13138301,2,100.6,1,2,26,1.0,2,0,260,26082,5.0,2.0,0.0,260.0,26082.0,5.0,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
2020,5326868,2,8.0,1,1,39,1.0,1,0,600,60014,,1.0,0.0,42.0,4200.0,,Africa,United States,Africa (ns),United States,US-Born,Married US-born
2023,1785808,1,26.0,2,2,67,1.0,1,0,501,50100,,1.0,0.0,41.0,4100.0,,Japan,United States,Japan,United States,US-Born,Married US-born
2023,2237548,1,21.0,2,2,79,1.0,7,1,200,20000,,1.0,0.0,17.0,1700.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2020,3995146,1,104.0,2,1,78,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2023,4060283,2,10.0,1,1,49,1.0,1,0,465,46530,,1.0,0.0,34.0,3400.0,,Spain/Portugal,United States,Spain,United States,US-Born,Married US-born
1980,1370404,1,20.0,2,1,47,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
1920,16483801,2,100.9,1,2,37,1.0,1,0,455,45500,5.0,1.0,0.0,455.0,45500.0,5.0,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
2023,1559139,1,17.0,2,2,61,1.0,6,0,260,26060,,6.0,0.0,260.0,26060.0,,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
2023,2287395,2,6.0,1,2,42,1.0,6,0,521,52130,,6.0,0.0,521.0,52130.0,,India,India,India,India,India,Same Country
1880,3255101,1,77.53,2,1,30,1.0,1,0,410,41000,5.0,1.0,0.0,23.0,2300.0,2.0,Ireland,United States,Ireland,United States,US-Born,Married US-born
2010,5515673,2,17.0,1,2,57,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,836740,2,15.0,1,2,72,1.0,1,0,461,46100,,1.0,0.0,455.0,45500.0,,Italy,Central Europe,Italy,Romania,Romania,Different Region
2010,961290,2,15.0,1,2,51,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2015,4056056,2,22.0,1,2,56,1.0,4,0,500,50010,,4.0,0.0,500.0,50010.0,,China,China,China,China,China,Same Country
2020,4037406,2,22.0,1,2,60,1.0,1,4,210,21030,,1.0,4.0,210.0,21030.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
1990,5465330,1,38.0,2,2,39,1.0,1,0,465,46500,,1.0,0.0,465.0,46500.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2000,4040308,1,24.0,2,1,60,1.0,1,0,410,41000,,1.0,0.0,25.0,2500.0,,Ireland,United States,Ireland,United States,US-Born,Married US-born
1980,420258,1,20.0,2,1,34,1.0,1,0,534,53400,,1.0,0.0,6.0,600.0,,Middle East,United States,Syria,United States,US-Born,Married US-born
1980,4194078,2,20.0,1,2,26,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2010,2335682,2,87.0,1,2,29,1.0,7,4,210,21040,,7.0,4.0,210.0,21040.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
2015,4373688,2,16.0,1,1,31,1.0,6,0,260,26060,,6.0,0.0,260.0,26060.0,,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
2010,1871243,2,15.0,1,2,54,1.0,1,0,453,45300,,1.0,0.0,17.0,1700.0,,Poland,United States,Poland,United States,US-Born,Married US-born
2000,2716091,2,8.0,1,2,23,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,2451737,1,16.0,2,1,34,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2000,3790392,2,48.0,1,1,46,1.0,8,1,200,20000,,8.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,705345,2,23.0,1,1,45,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
1930,1098726,1,20.5,2,1,42,1.0,1,0,450,45000,5.0,1.0,0.0,450.0,45000.0,5.0,Central Europe,Central Europe,Austria-Hungary (ns),Austria-Hungary (ns),Austria-Hungary (ns),Same Country
1990,3649664,1,23.0,2,1,71,1.0,1,0,436,43600,,1.0,0.0,36.0,3600.0,,Western Europe,United States,Netherlands,United States,US-Born,Married US-born
2015,2223816,2,20.0,1,2,46,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2020,356762,2,17.0,1,2,47,1.0,1,0,421,42100,,1.0,0.0,6.0,600.0,,Germany,United States,Germany,United States,US-Born,Married US-born
2010,204830,2,13.0,1,2,22,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,352400,4,18.0,3,2,25,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2020,3415346,2,7.0,1,2,26,1.0,1,1,200,20000,,1.0,1.0,48.0,4800.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
1910,14907201,2,101.0,1,2,38,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2023,1835350,2,14.0,1,2,41,1.0,1,0,465,46530,,1.0,0.0,465.0,46530.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2010,5029388,1,25.0,2,2,53,1.0,1,0,453,45300,,1.0,0.0,6.0,600.0,,Poland,United States,Poland,United States,US-Born,Married US-born
1970,360763,2,100.0,1,2,42,1.0,1,0,434,43400,5.0,1.0,0.0,434.0,43400.0,5.0,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
1920,2056801,1,100.38,2,1,34,1.0,1,0,455,45500,5.0,1.0,0.0,455.0,45500.0,5.0,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
2015,4244893,1,52.0,2,2,31,1.0,1,0,455,45500,,1.0,0.0,455.0,45500.0,,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
1990,3247217,1,5.0,2,1,56,1.0,1,0,461,46100,,1.0,0.0,461.0,46100.0,,Italy,Italy,Italy,Italy,Italy,Same Country
2010,1131779,1,17.0,2,1,48,1.0,8,4,300,30030,,8.0,4.0,300.0,30030.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
1970,262178,2,100.0,1,2,62,1.0,1,0,150,15000,5.0,1.0,0.0,1.0,100.0,1.0,Canada,United States,Canada,United States,US-Born,Married US-born
2000,1000477,1,23.0,2,1,48,1.0,1,0,456,45600,,1.0,0.0,534.0,53400.0,,Central Europe,Middle East,Albania,Syria,Syria,Different Region
2000,2150049,2,29.0,1,2,42,1.0,6,0,521,52110,,6.0,0.0,521.0,52110.0,,India,India,India,India,India,Same Country
2020,4195633,1,8.0,2,2,70,1.0,1,0,452,45213,,1.0,0.0,456.0,45600.0,,Central Europe,Central Europe,Czechoslovakia,Albania,Albania,Same Region
2010,647604,2,11.0,1,2,42,1.0,6,0,513,51300,,6.0,0.0,513.0,51300.0,,Southeast Asia,Southeast Asia,Myanmar/Burma,Myanmar/Burma,Myanmar/Burma,Same Country
2023,6569721,2,12.0,1,1,65,1.0,1,0,260,26091,,1.0,0.0,537.0,53700.0,,Central America/Caribbean,Middle East,West Indies (ns),Iran,Iran,Different Region
2023,1986541,2,37.0,1,2,27,1.0,8,0,521,52100,,8.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2015,2958340,2,7.0,1,2,37,1.0,6,0,511,51100,,7.0,1.0,110.0,11000.0,,China,US Territory,Hong Kong,Puerto Rico,Puerto Rico,Different Region
2020,2201962,5,10.0,6,1,80,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,2610566,2,37.0,1,2,30,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2020,423038,1,13.0,2,1,61,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2000,898928,2,18.0,1,2,59,1.0,1,0,400,40000,,1.0,0.0,452.0,45200.0,,United Kingdom,Central Europe,England,Czechoslovakia,Czechoslovakia,Different Region
2000,4021290,1,16.0,2,1,42,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2023,430526,1,17.0,2,1,58,1.0,1,0,150,15000,,1.0,0.0,6.0,600.0,,Canada,United States,Canada,United States,US-Born,Married US-born
2010,5295110,2,18.0,1,2,28,1.0,1,0,456,45600,,1.0,0.0,456.0,45600.0,,Central Europe,Central Europe,Albania,Albania,Albania,Same Country
2020,3895893,2,12.0,1,2,33,1.0,1,0,436,43600,,1.0,0.0,436.0,43600.0,,Western Europe,Western Europe,Netherlands,Netherlands,Netherlands,Same Country
2020,490474,2,20.0,1,2,35,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
1900,542780,2,19.85,1,2,22,1.0,1,0,425,42500,5.0,1.0,0.0,414.0,41400.0,5.0,Austria,United Kingdom,Austria,Code 414,Code 414,Different Region
1910,3014001,1,100.0,2,1,46,1.0,1,0,414,41400,5.0,1.0,0.0,414.0,41400.0,5.0,United Kingdom,United Kingdom,Code 414,Code 414,Code 414,Same Country
1970,75064,1,100.0,2,1,40,1.0,1,2,110,11000,5.0,1.0,2.0,110.0,11000.0,5.0,US Territory,US Territory,Puerto Rico,Puerto Rico,Puerto Rico,Same Country
2023,2384313,1,6.0,2,2,46,1.0,1,0,453,45300,,1.0,0.0,35.0,3500.0,,Poland,United States,Poland,United States,US-Born,Married US-born
2023,2912930,2,19.0,1,2,31,1.0,1,4,300,30030,,1.0,0.0,45.0,4500.0,,South America,United States,South America (ns),United States,US-Born,Married US-born
2010,4173228,1,9.0,2,2,36,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1900,712260,2,19.89,1,2,51,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2015,719884,2,19.0,1,2,38,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1900,856854,2,19.93,1,2,44,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2000,2560833,3,32.0,4,1,73,1.0,6,0,522,52200,,6.0,0.0,522.0,52200.0,,South Asia,South Asia,Pakistan,Pakistan,Pakistan,Same Country
1980,1422853,1,20.0,2,1,52,1.0,1,0,200,20000,,1.0,0.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1930,1419036,2,19.3,1,2,51,1.0,1,0,452,45200,5.0,1.0,0.0,48.0,4800.0,4.0,Central Europe,United States,Czechoslovakia,United States,US-Born,Married US-born
2023,6006197,3,14.0,2,2,55,1.0,7,1,210,21030,,7.0,1.0,210.0,21030.0,,Central America/Caribbean,Central America/Caribbean,Central America (ns),Central America (ns),Central America (ns),Same Country
1970,742513,2,100.0,1,2,42,1.0,4,4,300,30050,5.0,4.0,4.0,599.0,59900.0,5.0,South America,Asia (Other),South America (ns),Asia (ns),Asia (ns),Different Region
1900,475183,1,19.67,2,1,26,1.0,1,0,410,41000,5.0,1.0,0.0,34.0,3400.0,2.0,Ireland,United States,Ireland,United States,US-Born,Married US-born
2000,835455,2,9.0,1,2,49,1.0,1,0,465,46530,,1.0,0.0,465.0,46530.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
1900,248417,1,19.79,2,1,73,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2010,764412,1,19.0,2,1,45,1.0,1,0,522,52200,,1.0,0.0,522.0,52200.0,,South Asia,South Asia,Pakistan,Pakistan,Pakistan,Same Country
2000,2681300,1,26.0,2,1,40,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,2751429,2,21.0,1,2,67,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
1930,227859,2,20.04,6,1,32,1.0,1,0,455,45500,5.0,1.0,0.0,455.0,45500.0,5.0,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
1940,346148,1,88.0,2,1,44,1.0,1,0,450,45000,0.0,1.0,0.0,450.0,45000.0,0.0,Central Europe,Central Europe,Austria-Hungary (ns),Austria-Hungary (ns),Austria-Hungary (ns),Same Country
2015,1602805,1,11.0,2,1,79,1.0,2,0,260,26030,,2.0,0.0,260.0,26030.0,,Central America/Caribbean,Central America/Caribbean,West Indies (ns),West Indies (ns),West Indies (ns),Same Country
2010,2695941,2,22.0,1,2,47,1.0,1,0,300,30005,,1.0,0.0,300.0,30015.0,,South America,South America,South America (ns),South America (ns),South America (ns),Same Country
1940,321353,2,100.0,1,2,48,1.0,1,0,434,43400,5.0,1.0,0.0,434.0,43400.0,0.0,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
1930,1592506,1,20.27,2,1,39,1.0,5,0,501,50100,5.0,5.0,0.0,501.0,50100.0,5.0,Japan,Japan,Japan,Japan,Japan,Same Country
1900,649699,1,20.07,2,1,35,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2023,6318044,3,17.0,4,2,33,1.0,6,0,514,51400,,6.0,0.0,514.0,51400.0,,Southeast Asia,Southeast Asia,Cambodia,Cambodia,Cambodia,Same Country
2015,2471902,2,27.0,1,2,30,1.0,1,4,210,21050,,1.0,1.0,200.0,20000.0,,Central America/Caribbean,Mexico,Central America (ns),Mexico,Mexico,Different Region
2000,2387106,2,11.0,1,2,54,1.0,6,0,521,52140,,6.0,0.0,521.0,52140.0,,India,India,India,India,India,Same Country
2015,4565429,2,13.0,1,2,62,1.0,1,2,110,11000,,1.0,0.0,44.0,4400.0,,US Territory,United States,Puerto Rico,United States,US-Born,Married US-born
2000,1414776,1,25.0,2,1,47,1.0,7,2,110,11000,,7.0,2.0,110.0,11000.0,,US Territory,US Territory,Puerto Rico,Puerto Rico,Puerto Rico,Same Country
2023,5235313,1,23.0,2,1,66,1.0,6,0,518,51800,,1.0,0.0,41.0,4100.0,,Southeast Asia,United States,Thailand,United States,US-Born,Married US-born
2023,3143777,2,28.0,1,2,36,1.0,4,0,500,50010,,4.0,0.0,6.0,600.0,,China,United States,China,United States,US-Born,Married US-born
2023,2248400,1,13.0,2,1,77,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
1930,405416,1,19.71,2,1,52,1.0,1,0,453,45300,5.0,1.0,0.0,453.0,45300.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2000,3930233,1,19.0,2,2,34,1.0,7,4,260,26010,,1.0,0.0,9.0,900.0,,Central America/Caribbean,United States,West Indies (ns),United States,US-Born,Married US-born
2010,3732628,1,11.0,2,1,43,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
1930,652180,1,20.3,2,1,45,1.0,1,0,455,45500,5.0,1.0,0.0,455.0,45500.0,5.0,Central Europe,Central Europe,Romania,Romania,Romania,Same Country
1990,1244446,2,38.0,1,2,33,1.0,2,0,260,26030,,2.0,0.0,12.0,1200.0,,Central America/Caribbean,United States,West Indies (ns),United States,US-Born,Married US-born
2023,2692441,1,79.0,2,1,50,1.0,1,0,433,43300,,1.0,0.0,21.0,2100.0,,Scandinavia,United States,Finland,United States,US-Born,Married US-born
1880,615101,1,102.07,2,1,38,1.0,1,0,414,41400,5.0,1.0,0.0,17.0,1700.0,1.0,United Kingdom,United States,Code 414,United States,US-Born,Married US-born
1920,4504001,1,97.8,2,1,63,1.0,1,0,453,45311,5.0,1.0,0.0,453.0,45311.0,5.0,Poland,Poland,Poland,Poland,Poland,Same Country
2020,2877612,1,31.0,2,1,69,1.0,2,0,600,60055,,2.0,0.0,600.0,60055.0,,Africa,Africa,Africa (ns),Africa (ns),Africa (ns),Same Country
2023,2958710,2,11.0,1,1,61,1.0,1,0,421,42100,,1.0,0.0,36.0,3600.0,,Germany,United States,Germany,United States,US-Born,Married US-born
2023,731269,2,10.0,1,2,37,1.0,1,0,700,70010,,6.0,0.0,18.0,1800.0,,Oceania,United States,Australia,United States,US-Born,Married US-born
2023,848268,2,10.0,1,2,51,1.0,6,0,502,50200,,6.0,0.0,502.0,50200.0,,Korea,Korea,Korea,Korea,Korea,Same Country
2020,5012957,2,15.0,1,1,29,1.0,6,0,518,51800,,6.0,0.0,518.0,51800.0,,Southeast Asia,Southeast Asia,Thailand,Thailand,Thailand,Same Country
2015,1957158,1,26.0,2,1,53,1.0,1,0,700,70020,,1.0,0.0,27.0,2700.0,,Oceania,United States,Australia,United States,US-Born,Married US-born
2010,410832,1,30.0,2,2,42,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,1082456,2,20.0,1,2,31,1.0,2,0,600,60057,,2.0,0.0,600.0,60057.0,,Africa,Africa,Africa (ns),Africa (ns),Africa (ns),Same Country
2000,2957481,2,27.0,1,2,44,1.0,1,0,457,45710,,1.0,0.0,6.0,600.0,,Central Europe,United States,Yugoslavia,United States,US-Born,Married US-born
2020,6126936,1,48.0,2,1,51,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1990,289075,2,21.0,1,2,30,1.0,1,0,150,15000,,1.0,4.0,300.0,30050.0,,Canada,South America,Canada,South America (ns),South America (ns),Different Region
2010,3619880,2,12.0,1,2,29,1.0,7,0,521,52100,,8.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2010,441851,1,7.0,2,1,39,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2020,422895,2,13.0,1,1,23,1.0,1,4,210,21040,,1.0,1.0,200.0,20000.0,,Central America/Caribbean,Mexico,Central America (ns),Mexico,Mexico,Different Region
2023,6014947,1,6.0,2,1,48,1.0,6,0,521,52100,,6.0,0.0,521.0,52100.0,,India,India,India,India,India,Same Country
2000,1481950,1,11.0,2,1,32,1.0,2,0,600,60057,,2.0,0.0,600.0,60057.0,,Africa,Africa,Africa (ns),Africa (ns),Africa (ns),Same Country
2010,1123162,1,1.0,2,1,48,1.0,1,0,532,53200,,1.0,0.0,455.0,45500.0,,Middle East,Central Europe,Israel,Romania,Romania,Different Region
2015,4003732,1,25.0,2,1,41,1.0,1,1,200,20000,,1.0,1.0,35.0,3500.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
1990,355790,1,13.0,2,1,41,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
2010,348779,1,38.0,2,1,36,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2010,1070682,1,21.0,2,2,71,1.0,6,0,502,50200,,6.0,0.0,502.0,50200.0,,Korea,Korea,Korea,Korea,Korea,Same Country
1980,4099154,1,20.0,2,1,33,1.0,1,2,110,11000,,1.0,2.0,110.0,11000.0,,US Territory,US Territory,Puerto Rico,Puerto Rico,Puerto Rico,Same Country
2000,5033154,2,27.0,1,2,47,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,3159146,2,20.0,1,2,70,1.0,1,0,450,45000,,1.0,0.0,453.0,45310.0,,Central Europe,Poland,Austria-Hungary (ns),Poland,Poland,Different Region
2020,6164852,2,42.0,1,2,35,1.0,2,0,260,26030,,1.0,0.0,20.0,2000.0,,Central America/Caribbean,United States,West Indies (ns),United States,US-Born,Married US-born
2000,2563682,2,21.0,1,2,77,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
2020,969478,2,54.0,1,1,56,1.0,1,0,465,46540,,1.0,0.0,465.0,46540.0,,Spain/Portugal,Spain/Portugal,Spain,Spain,Spain,Same Country
2010,3168819,2,13.0,1,2,31,1.0,6,0,517,51700,,8.0,0.0,513.0,51300.0,,Vietnam,Southeast Asia,Vietnam,Myanmar/Burma,Myanmar/Burma,Different Region
2010,5059387,2,24.0,1,1,40,1.0,7,2,110,11000,,3.0,0.0,44.0,4400.0,,US Territory,United States,Puerto Rico,United States,US-Born,Married US-born
2020,1617644,2,27.0,1,2,30,1.0,6,0,521,52140,,6.0,0.0,521.0,52140.0,,India,India,India,India,India,Same Country
1940,311407,2,100.0,1,2,27,1.0,1,0,410,41000,5.0,1.0,0.0,410.0,41000.0,0.0,Ireland,Ireland,Ireland,Ireland,Ireland,Same Country
2015,929246,1,49.0,2,1,44,1.0,1,1,200,20000,,1.0,1.0,6.0,600.0,,Mexico,United States,Mexico,United States,US-Born,Married US-born
2015,4530208,2,12.0,1,2,26,1.0,7,4,210,21020,,1.0,0.0,38.0,3800.0,,Central America/Caribbean,United States,Central America (ns),United States,US-Born,Married US-born
2023,3992221,1,8.0,2,2,37,1.0,4,0,500,50000,,2.0,0.0,260.0,26030.0,,China,Central America/Caribbean,China,West Indies (ns),West Indies (ns),Different Region
