YEAR,ORIGIN,SPOUSE,WEIGHTED_COUNT,UNWEIGHTED_COUNT,TOTAL_BY_ORIGIN,PERCENTAGE
1930,Canada,Austria-Hungary (ns),583.4,29,739756.8099999999,0.08
1930,Canada,Born abroad (US parents),3244.52,160,739756.8099999999,0.44
1930,Canada,Canada,316633.54,15680,739756.8099999999,42.8
1930,Canada,Channel Islands,6924.96,343,739756.8099999999,0.94
1930,Canada,Code 414,10118.55,502,739756.8099999999,1.37
1930,Canada,England,933.62,46,739756.8099999999,0.13
1930,Canada,Germany,1921.04,95,739756.8099999999,0.26
1930,Canada,Iceland,1071.4,53,739756.8099999999,0.14
1930,Canada,Ireland,19422.09,961,739756.8099999999,2.63
1930,Canada,Isle of Man,547.27,27,739756.8099999999,0.07
1930,Canada,Northern Ireland,1154.52,57,739756.8099999999,0.16
1930,Canada,Poland,4746.32,235,739756.8099999999,0.64
1930,Canada,Romania,998.71,49,739756.8099999999,0.14
1930,Canada,Spain,1555.03,77,739756.8099999999,0.21
1930,Canada,Switzerland,467.98,23,739756.8099999999,0.06
1930,Canada,US-Born,367110.61,18155,739756.8099999999,49.63
1930,Canada,United Kingdom (ns),2323.25,115,739756.8099999999,0.31
1930,Central America (ns),Central America (ns),1748.1200000000001,86,3606.99,48.46
1930,Central America (ns),US-Born,1858.87,92,3606.99,51.54
1930,Channel Islands,Canada,6924.96,343,202525.0,3.42
1930,Channel Islands,Channel Islands,101374.16,5016,202525.0,50.06
1930,Channel Islands,Code 414,8525.47,422,202525.0,4.21
1930,Channel Islands,England,446.95,22,202525.0,0.22
1930,Channel Islands,Germany,461.34,23,202525.0,0.23
1930,Channel Islands,Ireland,14063.2,696,202525.0,6.94
1930,Channel Islands,Isle of Man,708.73,35,202525.0,0.35
1930,Channel Islands,Northern Ireland,441.42,22,202525.0,0.22
1930,Channel Islands,Poland,1707.41,84,202525.0,0.84
1930,Channel Islands,Spain,424.45,21,202525.0,0.21
1930,Channel Islands,US-Born,66558.98,3295,202525.0,32.86
1930,Channel Islands,United Kingdom (ns),887.93,44,202525.0,0.44
1930,China,China,6154.48,304,9546.24,64.47
1930,China,US-Born,3391.7599999999998,167,9546.24,35.53
1930,Code 414,Austria-Hungary (ns),483.39,24,459387.75,0.11
1930,Code 414,Canada,10118.55,502,459387.75,2.2
1930,Code 414,Channel Islands,8525.47,422,459387.75,1.86
1930,Code 414,Code 414,271819.26,13450,459387.75,59.17
1930,Code 414,England,767.7,38,459387.75,0.17
1930,Code 414,Germany,1013.22,50,459387.75,0.22
1930,Code 414,Iceland,1252.82,62,459387.75,0.27
1930,Code 414,Ireland,14887.38,737,459387.75,3.24
1930,Code 414,Isle of Man,465.44,23,459387.75,0.1
1930,Code 414,Northern Ireland,522.89,26,459387.75,0.11
1930,Code 414,Poland,4355.13,214,459387.75,0.95
1930,Code 414,Switzerland,466.18,23,459387.75,0.1
1930,Code 414,US-Born,143501.45,7098,459387.75,31.24
1930,Code 414,United Kingdom (ns),1208.8700000000001,60,459387.75,0.26
1930,Code 90,Code 90,2833.6,138,2833.6,100.0
1930,Cuba,Cuba,3627.98,180,7618.91,47.62
1930,Cuba,France,649.36,32,7618.91,8.52
1930,Cuba,US-Born,3341.57,166,7618.91,43.86
1930,Czechoslovakia,Albania,1233.85,61,353217.65,0.35
1930,Czechoslovakia,Austria-Hungary (ns),3676.46,182,353217.65,1.04
1930,Czechoslovakia,Bulgaria,4859.79,240,353217.65,1.38
1930,Czechoslovakia,Czechoslovakia,267906.96,13276,353217.65,75.85
1930,Czechoslovakia,Iceland,746.89,37,353217.65,0.21
1930,Czechoslovakia,Ireland,403.12,20,353217.65,0.11
1930,Czechoslovakia,Poland,5418.08,268,353217.65,1.53
1930,Czechoslovakia,Romania,5932.42,294,353217.65,1.68
1930,Czechoslovakia,Spain,2220.96,110,353217.65,0.63
1930,Czechoslovakia,US-Born,58182.23,2886,353217.65,16.47
1930,Czechoslovakia,Yugoslavia,2636.89,130,353217.65,0.75
1930,England,Canada,933.62,46,116798.84,0.8
1930,England,Channel Islands,446.95,22,116798.84,0.38
1930,England,Code 414,767.7,38,116798.84,0.66
1930,England,England,62380.32,3098,116798.84,53.41
1930,England,Ireland,911.94,45,116798.84,0.78
1930,England,Northern Ireland,3411.14,169,116798.84,2.92
1930,England,Poland,3252.88,162,116798.84,2.79
1930,England,US-Born,40951.07,2033,116798.84,35.06
1930,England,United Kingdom (ns),3743.22,186,116798.84,3.2
1930,Europe (ns),Europe (ns),1296.64,64,2001.5500000000002,64.78
1930,Europe (ns),US-Born,704.91,35,2001.5500000000002,35.22
1930,Finland,Finland,74768.02,3702,96695.26000000001,77.32
1930,Finland,Iceland,666.43,33,96695.26000000001,0.69
1930,Finland,Middle East (ns),1671.87,83,96695.26000000001,1.73
1930,Finland,Poland,686.64,34,96695.26000000001,0.71
1930,Finland,Romania,665.08,33,96695.26000000001,0.69
1930,Finland,US-Born,18237.22,905,96695.26000000001,18.86
1930,France,Cuba,649.36,32,26885.57,2.42
1930,France,France,18539.7,918,26885.57,68.96
1930,France,Germany,442.39,22,26885.57,1.65
1930,France,Iceland,689.27,34,26885.57,2.56
