YEAR,COUNTRY,n_unweighted,total_weighted,pct_married_us_born,pct_same_country,pct_same_region,pct_different_region
1880,Austria,387.0,37899.91,13.110268599582428,72.25901064145006,0.0,14.6307207589675
1880,Austria-Hungary (ns),192.0,19591.11,14.45002350555941,51.273460258249806,3.704843676545126,30.57167255964567
1880,Canada,3293.0,329764.07,36.43478199429065,51.18566737728584,0.0,12.379550628423527
1880,Channel Islands,979.0,97928.68000000001,29.853767047610567,43.42380597798316,11.06741150804851,15.655015466357758
1880,China,64.0,6036.9,1.5923735692159884,96.81525286156803,0.0,1.5923735692159884
1880,Code 414,10907.0,1098581.91,14.671230113374067,78.71737210746535,1.2472233408613111,5.364174438299281
1880,Czechoslovakia,572.0,58282.81,2.5991025484186503,91.01414293511242,1.0204209440141956,5.366333572454726
1880,England,350.0,34732.380000000005,9.758617175097125,77.34390790380617,5.523923209408626,7.373551711688053
1880,Germany,948.0,95229.61,21.640695577772505,51.62173823876839,1.358085998672052,25.379480184787067
1880,Iceland,213.0,21342.170000000006,11.989502473272395,77.10209411695249,0.0,10.908403409775103
1880,Ireland,3903.0,393654.73000000004,33.49733915301868,52.79058630897182,0.0,13.712074538009485
1880,Isle of Man,466.0,46896.77,24.280392871406715,66.32367218467286,3.062257805814772,6.333677138105674
1880,Mexico,324.0,31216.619999999995,9.383238800356994,88.10454174731281,0.0,2.5122194523302013
1880,Netherlands,63.0,6275.63,13.759734082474587,73.21241054682956,0.0,13.027855370695848
1880,Northern Ireland,1053.0,104897.98999999999,6.554386790442791,88.10300368958453,4.293838232744021,1.0487712872286685
1880,Poland,13128.0,1316492.8599999999,14.278636497884237,79.92396100044175,0.0,5.797402501674032
1880,Romania,390.0,39527.53,6.427520262460113,78.61923069819944,0.7576491624951016,14.195599876845327
1880,Spain,167.0,16227.649999999998,4.686815404571827,79.52747317079184,0.0,15.785711424636348
1880,Switzerland,533.0,53206.31,20.402674043736535,49.78101281596112,0.0,29.81631314030235
1880,United Kingdom (ns),1055.0,105502.87,5.3700908799921745,86.07267271496973,5.142789006592902,3.414447398445179
1900,Africa (ns),67.0,1316.45,51.99893653386,12.01412890728854,0.0,35.98693455885146
1900,Albania,368.0,7273.73,2.1774247875574155,77.1760843473706,6.49515448057599,14.151336384495988
1900,Australia,189.0,3710.67,52.94488596399033,15.805770925466286,0.0,31.249343110543375
1900,Austria,3003.0,58830.72,18.343239722376335,73.61079381656387,0.0,8.0459664610598
1900,Austria-Hungary (ns),7009.0,138036.19,8.053105493566578,77.96488732411404,2.7310156850895404,11.250991497229819
1900,Born abroad (US parents),363.0,7132.91,64.27348725835598,2.1887280226443346,0.0,33.53778471899967
1900,Bulgaria,3394.0,66845.22,3.7741816093955562,88.10691325423117,3.437867359850113,4.681037776523138
1900,Canada,33416.0,656273.8200000001,39.08877547484676,51.82313077794265,0.0,9.088093747210577
1900,Channel Islands,6880.0,135220.63,33.84943554840707,42.43250456679576,8.932054228707557,14.786005656089607
1900,China,180.0,3511.52,24.022645464072532,74.32507859844168,0.0,1.6522759374857612
1900,Code 414,42047.0,828629.48,23.931695020070975,67.20574797797443,1.7461531781369883,7.1164038238176115
1900,Cuba,246.0,4860.66,32.90705377459028,53.70834413433566,1.2191759966753488,12.165426094398704
1900,Czechoslovakia,5462.0,107262.98,10.992758172484114,83.53402077771848,1.7434160415830326,3.7298050082143903
1900,England,4937.0,96443.5,16.23673964549192,68.38242079559535,8.661091727280741,6.719747831631992
1900,Europe (ns),51.0,1042.3200000000002,28.624606646711182,61.06569959321513,0.0,10.309693760073682
1900,France,165.0,3238.3199999999997,41.35940858222782,32.47424590528423,0.0,26.166345512487965
1900,Germany,3897.0,76755.91,27.485766242625488,48.40773824452085,2.5062825781102713,21.6002129347434
1900,Iceland,11445.0,225887.57,4.6864331667298025,93.13504944074612,0.008397983120540894,2.170119409403536
1900,India,170.0,3363.7000000000003,65.74426970300561,21.30392127716502,0.0,12.951809019829355
1900,Ireland,25809.0,507913.13,40.11133360541398,44.785441951461266,0.0,15.103224443124752
1900,Isle of Man,3054.0,60093.17,32.252034632221935,51.906997084693664,4.158941856453903,11.682026426630514
1900,Italy,80.0,1588.7999999999997,1.2613293051359518,94.97734138972808,0.0,3.761329305135952
1900,Lebanon,148.0,2912.1799999999994,4.745929166466359,93.21951253013208,0.0,2.034558303401576
1900,Mexico,2419.0,47475.54,23.226570987923463,75.04205323414962,0.0,1.7313757779269068
1900,Middle East (ns),153.0,3014.92,8.526926087591047,83.56042614729411,0.0,7.912647765114827
1900,Netherlands,1058.0,20969.739999999998,14.69231378166825,80.86642943593961,0.0,4.441256782392153
1900,Northern Ireland,10667.0,207327.29,15.335680121994551,74.87383836445264,7.746491067336095,2.043990446216704
1900,Poland,88551.0,1741542.03,23.05831171929856,71.55829939975665,0.0,5.38338888094478
1900,Romania,10029.0,196320.71,3.9577179605758364,91.30006711976542,0.9570819094939093,3.785133010164847
1900,Scotland,1385.0,26908.23,2.0870194732243634,88.18952417160102,8.557567703264017,1.1658886519105864
1900,South America (ns),87.0,1708.65,58.774471073654645,9.193222719690983,0.0,32.032306206654376
1900,Spain,11965.0,234813.63999999998,3.4519800468149975,89.63431596222433,0.0,6.913703990960663
1900,Switzerland,3456.0,67952.84,26.553077104650814,46.36430206596222,0.0,27.082620829386972
1900,United Kingdom (ns),17475.0,341088.22,10.682875532904655,80.83815383597829,5.825783136104789,2.653187495012288
1900,West Indies (ns),311.0,6183.97,46.40530274241305,42.699107531246106,0.9582840796446297,9.937305646696219
1910,Albania,242.0,24068.0,2.916735914907761,77.48878178494266,8.338873192620907,11.255609107528668
1910,Austria,729.0,72810.0,23.689053701414643,68.8806482626013,0.0,7.430298035984068
1910,Austria-Hungary (ns),6116.0,612081.0,7.507339714841662,84.56250071477469,1.4922861516694685,6.437873418714189
1910,Bulgaria,2224.0,222504.0,3.245334915327365,90.53320389745802,2.9311832596267933,3.2902779275878187
1910,Canada,7286.0,728110.0,43.945145651069204,46.690747277197126,0.0,9.364107071733667
1910,Channel Islands,1529.0,152416.0,33.951159983203866,43.94551753096788,7.36864896073903,14.734673525089228
1910,China,52.0,5222.0,46.11260053619303,46.18919954040597,0.0,7.698199923400996
1910,Code 414,6782.0,679097.0,29.39138296885423,60.92089937078208,2.03770595364138,7.650011706722309
1910,Cuba,77.0,7717.0,28.56032136840741,62.32992095373851,2.5916807049371515,6.518076972916936
1910,Czechoslovakia,96.0,9617.0,13.548923780804826,70.79130706041386,6.259748362275137,9.400020796506187
1910,England,1172.0,117253.0,22.063401362864916,63.648691291480816,8.294883712996683,5.993023632657587
1910,Finland,92.0,9120.0,16.50219298245614,71.42543859649123,1.0964912280701753,10.975877192982455
1910,France,77.0,7532.0,20.007966011683482,61.33828996282528,0.0,18.653744025491235
1910,Germany,969.0,96055.0,25.577013169538287,55.52652126385925,1.8780906772161783,17.01837488938629
1910,Iceland,6401.0,641153.0,4.96043846008675,93.71039361899578,0.015596901207668061,1.313571019709804
1910,Ireland,5249.0,524916.0,42.28314625578188,41.76630165588399,0.0,15.950552088334133
1910,Isle of Man,509.0,51059.0,41.436377524040815,41.67335827180321,5.693413502027067,11.19685070212891
1910,Japan,345.0,34182.0,2.928441869990053,96.19097770756538,0.0,0.8805804224445615
1910,Mexico,911.0,91364.0,19.42559432599273,79.03988441837048,0.0,1.5345212556367935
1910,Middle East (ns),225.0,22551.0,3.995388231120571,88.89184515099109,0.0,7.112766617888341
1910,Netherlands,443.0,44135.0,12.495751671009403,84.32763113175484,0.0,3.1766171972357538
1910,Northern Ireland,2258.0,226188.0,21.020124851893115,67.93729110297629,8.02871947229738,3.0138645728332185
1910,Poland,16446.0,1646805.0,28.767765460998724,64.90416290939122,0.0,6.328071629610063
1910,Romania,467.0,46825.0,7.707421249332621,85.22370528563802,2.359850507207688,4.709022957821676
1910,Scotland,615.0,61668.0,4.722060063566193,89.09645196860609,5.693390413180255,0.4880975546474671
1910,Spain,8063.0,805290.0,3.674576860509878,90.77028151349204,0.0,5.555141625998088
1910,Switzerland,768.0,76936.0,31.410523032130598,44.59550795466362,0.0,23.99396901320578
1910,United Kingdom (ns),4039.0,404203.0,15.30592301393112,76.15925661115826,5.657305858689816,2.87751451622081
1910,West Indies (ns),135.0,13527.0,37.03703703703704,51.85185185185185,1.478524432616249,9.632586678494862
1920,Albania,644.0,64933.91,7.15890972836843,67.96621364707592,10.852434421398621,14.022442203157023
