STATEFIP,STATE_NAME,ORIGIN_GROUP,TOTAL_2NDGEN_IN_STATE,GROUP_COUNT_IN_STATE,GROUP_SHARE_PCT,OUTMARRIAGE_RATE,THIRD_GEN_RATE,HERITAGE_RATE,WEIGHTED_N,UNWEIGHTED_N
39,Ohio,Canada,1132508.72,16402.75,1.45,83.87,51.75,16.13,16402.75,570
39,Ohio,Czechoslovakia,1132508.72,34032.32,3.01,35.36,12.72,64.64,34032.32,1291
39,Ohio,England,1132508.72,79968.78,7.06,80.1,53.2,19.9,79968.78,2915
39,Ohio,France,1132508.72,21221.91,1.87,75.68,41.29,24.32,21221.91,901
39,Ohio,Germany,1132508.72,657769.98,58.08,44.08,31.82,55.92,657769.98,23223
39,Ohio,Hungary,1132508.72,10348.17,0.91,43.23,11.75,56.77,10348.17,379
39,Ohio,Ireland,1132508.72,145540.93,12.85,62.55,37.9,37.45,145540.93,5601
39,Ohio,Italy,1132508.72,16513.989999999998,1.46,22.85,10.82,77.15,16513.989999999998,674
39,Ohio,Poland,1132508.72,24400.520000000004,2.15,26.77,7.24,73.23,24400.520000000004,873
39,Ohio,Russia/USSR,1132508.72,10998.740000000002,0.97,43.66,7.64,56.34,10998.740000000002,367
39,Ohio,Scotland,1132508.72,16610.89,1.47,92.52,57.53,7.48,16610.89,614
39,Ohio,Sweden,1132508.72,6808.269999999999,0.6,76.08,50.7,23.92,6808.269999999999,231
39,Ohio,Switzerland,1132508.72,27560.170000000006,2.43,76.58,44.09,23.42,27560.170000000006,939
39,Ohio,Wales,1132508.72,29167.130000000005,2.58,64.77,44.25,35.23,29167.130000000005,1057
40,Oklahoma,England,73480.96,5805.92,7.9,92.89,76.35,7.11,5805.92,153
40,Oklahoma,Germany,73480.96,29871.21,40.65,70.77,57.97,29.23,29871.21,825
40,Oklahoma,Ireland,73480.96,8498.23,11.57,66.9,56.45,33.1,8498.23,222
40,Oklahoma,Russia/USSR,73480.96,8416.640000000003,11.45,17.06,10.85,82.94,8416.640000000003,230
41,Oregon,Canada,108044.34,8413.509999999998,7.79,87.59,63.28,12.41,8413.509999999998,277
41,Oregon,England,108044.34,10188.240000000002,9.43,83.13,54.68,16.87,10188.240000000002,349
41,Oregon,Germany,108044.34,38279.240000000005,35.43,68.68,40.16,31.32,38279.240000000005,1146
41,Oregon,Ireland,108044.34,10817.060000000001,10.01,77.86,45.27,22.14,10817.060000000001,343
41,Oregon,Norway,108044.34,5945.429999999999,5.5,72.03,36.7,27.97,5945.429999999999,196
41,Oregon,Sweden,108044.34,8779.150000000001,8.13,75.51,38.88,24.49,8779.150000000001,284
42,Pennsylvania,Austria,1475311.08,36059.57000000001,2.44,46.19,10.67,53.81,36059.57000000001,1141
42,Pennsylvania,Canada,1475311.08,8356.25,0.57,91.63,58.43,8.37,8356.25,286
42,Pennsylvania,Czechoslovakia,1475311.08,32324.200000000004,2.19,32.12,7.92,67.88,32324.200000000004,1405
42,Pennsylvania,England,1475311.08,138321.65999999997,9.38,76.82,50.07,23.18,138321.65999999997,4921
42,Pennsylvania,France,1475311.08,15948.96,1.08,83.79,40.25,16.21,15948.96,594
42,Pennsylvania,Germany,1475311.08,525375.29,35.61,54.81,36.91,45.19,525375.29,18086
42,Pennsylvania,Hungary,1475311.08,8669.63,0.59,47.67,13.42,52.33,8669.63,285
42,Pennsylvania,Ireland,1475311.08,408268.44999999995,27.67,47.84,29.5,52.16,408268.44999999995,15150
42,Pennsylvania,Italy,1475311.08,60501.7,4.1,19.9,10.98,80.1,60501.7,2346
42,Pennsylvania,Lithuania,1475311.08,10233.11,0.69,39.24,10.22,60.76,10233.11,444
42,Pennsylvania,Poland,1475311.08,54111.94,3.67,28.96,7.68,71.04,54111.94,2153
42,Pennsylvania,Russia/USSR,1475311.08,42210.310000000005,2.86,29.32,6.3,70.68,42210.310000000005,1463
42,Pennsylvania,Scotland,1475311.08,37310.26,2.53,89.13,51.94,10.87,37310.26,1229
