YEAR,ORIGIN_REGION,MARRIAGE_TYPE,WEIGHTED_COUNT
1950.0,Unknown,Interethnic 1st gen,49385.0
1950.0,Unknown,Native stock (3rd+),1084718.0
1950.0,Western Europe,Co-ethnic 1st gen,68131.0
1950.0,Western Europe,Interethnic 1st gen,21043.0
1950.0,Western Europe,Native stock (3rd+),663483.0
1950.0,Western Europe,Same region 1st gen,2304.0
1960.0,Africa,Interethnic 1st gen,199.0
1960.0,Africa,Interethnic 2nd gen,1294.0
1960.0,Africa,Native stock (3rd+),2195.0
1960.0,Asia,Co-ethnic 2nd gen,99.0
1960.0,Asia,Interethnic 1st gen,199.0
1960.0,Asia,Interethnic 2nd gen,1591.0
1960.0,Asia,Native stock (3rd+),3284.0
1960.0,Atlantic,Co-ethnic 1st gen,100.0
1960.0,Atlantic,Co-ethnic 2nd gen,694.0
1960.0,Atlantic,Interethnic 1st gen,100.0
1960.0,Atlantic,Interethnic 2nd gen,596.0
1960.0,Atlantic,Native stock (3rd+),1197.0
1960.0,British Isles,Co-ethnic 1st gen,3286.0
1960.0,British Isles,Co-ethnic 2nd gen,28988.0
1960.0,British Isles,Interethnic 1st gen,7774.0
1960.0,British Isles,Interethnic 2nd gen,74114.0
1960.0,British Isles,Native stock (3rd+),140252.0
1960.0,British Isles,Same region 1st gen,496.0
1960.0,British Isles,Same region 2nd gen,4979.0
1960.0,Caribbean,Co-ethnic 1st gen,7180.0
1960.0,Caribbean,Co-ethnic 2nd gen,6281.0
1960.0,Caribbean,Interethnic 1st gen,1893.0
1960.0,Caribbean,Interethnic 2nd gen,7863.0
1960.0,Caribbean,Native stock (3rd+),22118.0
1960.0,Caribbean,Same region 1st gen,697.0
1960.0,Caribbean,Same region 2nd gen,698.0
1960.0,Central America,Interethnic 2nd gen,995.0
1960.0,Central America,Native stock (3rd+),2391.0
1960.0,Central Europe,Co-ethnic 1st gen,7768.0
1960.0,Central Europe,Co-ethnic 2nd gen,36731.0
1960.0,Central Europe,Interethnic 1st gen,24992.0
1960.0,Central Europe,Interethnic 2nd gen,164885.0
1960.0,Central Europe,Native stock (3rd+),491611.0
1960.0,Central Europe,Same region 1st gen,3285.0
1960.0,Central Europe,Same region 2nd gen,15344.0
1960.0,East Asia,Co-ethnic 1st gen,2991.0
1960.0,East Asia,Co-ethnic 2nd gen,13558.0
1960.0,East Asia,Interethnic 1st gen,698.0
1960.0,East Asia,Interethnic 2nd gen,1496.0
1960.0,East Asia,Native stock (3rd+),9363.0
1960.0,East Asia,Same region 1st gen,300.0
1960.0,East Asia,Same region 2nd gen,799.0
1960.0,Eastern Europe,Co-ethnic 1st gen,11059.0
1960.0,Eastern Europe,Co-ethnic 2nd gen,132669.0
1960.0,Eastern Europe,Interethnic 1st gen,18423.0
1960.0,Eastern Europe,Interethnic 2nd gen,96536.0
1960.0,Eastern Europe,Native stock (3rd+),212293.0
1960.0,Eastern Europe,Same region 1st gen,4084.0
1960.0,Eastern Europe,Same region 2nd gen,42638.0
1960.0,Europe,Co-ethnic 1st gen,8264.0
1960.0,Europe,Co-ethnic 2nd gen,66980.0
1960.0,Europe,Interethnic 1st gen,19735.0
1960.0,Europe,Interethnic 2nd gen,121539.0
1960.0,Europe,Native stock (3rd+),340217.0
1960.0,Middle East,Co-ethnic 1st gen,995.0
1960.0,Middle East,Co-ethnic 2nd gen,2390.0
1960.0,Middle East,Interethnic 1st gen,398.0
1960.0,Middle East,Interethnic 2nd gen,2588.0
1960.0,Middle East,Native stock (3rd+),7866.0
1960.0,Mixed,Interethnic 1st gen,1092929.0
1960.0,Mixed,Interethnic 2nd gen,5289456.0
1960.0,Mixed,Native stock (3rd+),3354966.0
1960.0,North America,Co-ethnic 1st gen,50294.0
1960.0,North America,Co-ethnic 2nd gen,166776.0
1960.0,North America,Interethnic 1st gen,28107.0
1960.0,North America,Interethnic 2nd gen,153806.0
1960.0,North America,Native stock (3rd+),545638.0
1960.0,North America,Same region 1st gen,597.0
1960.0,North America,Same region 2nd gen,894.0
1960.0,Oceania,Co-ethnic 1st gen,100.0
1960.0,Oceania,Co-ethnic 2nd gen,100.0
1960.0,Oceania,Interethnic 1st gen,499.0
1960.0,Oceania,Interethnic 2nd gen,2794.0
1960.0,Oceania,Native stock (3rd+),7367.0
1960.0,Pacific,Interethnic 1st gen,100.0
1960.0,Pacific,Interethnic 2nd gen,100.0
1960.0,Pacific,Native stock (3rd+),698.0
1960.0,Scandinavia,Co-ethnic 1st gen,996.0
1960.0,Scandinavia,Co-ethnic 2nd gen,2388.0
1960.0,Scandinavia,Interethnic 1st gen,2191.0
1960.0,Scandinavia,Interethnic 2nd gen,7469.0
1960.0,Scandinavia,Native stock (3rd+),21016.0
1960.0,Scandinavia,Same region 2nd gen,200.0
1960.0,South America,Co-ethnic 1st gen,100.0
1960.0,South America,Interethnic 1st gen,1095.0
1960.0,South America,Interethnic 2nd gen,4583.0
1960.0,South America,Native stock (3rd+),6971.0
1960.0,South Asia,Co-ethnic 2nd gen,797.0
1960.0,South Asia,Interethnic 2nd gen,1891.0
1960.0,South Asia,Native stock (3rd+),6073.0
1960.0,Southeast Asia,Interethnic 2nd gen,597.0
1960.0,Southeast Asia,Native stock (3rd+),1992.0
1960.0,Southern Europe,Co-ethnic 1st gen,17232.0
1960.0,Southern Europe,Co-ethnic 2nd gen,187596.0
1960.0,Southern Europe,Interethnic 1st gen,46229.0
1960.0,Southern Europe,Interethnic 2nd gen,231748.0
1960.0,Southern Europe,Native stock (3rd+),875726.0
1960.0,Southern Europe,Same region 1st gen,6173.0
1960.0,Southern Europe,Same region 2nd gen,49412.0
1960.0,Unknown,Co-ethnic 1st gen,1491.0
1960.0,Unknown,Interethnic 1st gen,8367.0
1960.0,Unknown,Interethnic 2nd gen,32577.0
1960.0,Unknown,Native stock (3rd+),49908.0
1960.0,Western Europe,Co-ethnic 1st gen,20721.0
1960.0,Western Europe,Co-ethnic 2nd gen,202433.0
1960.0,Western Europe,Interethnic 1st gen,24498.0
1960.0,Western Europe,Interethnic 2nd gen,142911.0
1960.0,Western Europe,Native stock (3rd+),424266.0
1960.0,Western Europe,Same region 1st gen,1095.0
1960.0,Western Europe,Same region 2nd gen,18622.0
