YEAR,REGION,n_unweighted,total_weighted,pct_married_us_born,pct_same_country,pct_same_region,pct_different_region
1880,Africa,18.0,1870.8400000000001,54.742789335271844,22.433773064505786,0.0,22.82343760022236
1880,Asia (Other),2.0,195.06,52.73761919409413,0.0,0.0,47.26238080590587
1880,Atlantic Islands,1.0,102.39,100.0,0.0,0.0,0.0
1880,Austria,387.0,37899.91,13.110268599582428,72.25901064145006,0.0,14.6307207589675
1880,Born Abroad (US parents),37.0,3695.629999999999,49.15887142381679,17.447634097569296,0.0,33.39349447861393
1880,Canada,3293.0,329764.07,36.43478199429065,51.18566737728584,0.0,12.379550628423527
1880,Central America/Caribbean,63.0,6941.799999999999,38.392203751188454,45.487337578149756,2.9499553429946124,13.170503327667177
1880,Central Europe,1201.0,122170.28,6.297218930823438,78.92363019876846,1.6530534267417578,13.126097443666335
1880,China,64.0,6036.9,1.5923735692159884,96.81525286156803,0.0,1.5923735692159884
1880,Europe (Other),22.0,2120.67,18.298462278430875,53.779230148962355,0.0,27.92230757260677
1880,France,27.0,2739.81,40.81049415835405,21.86647979239436,0.0,37.32302604925159
1880,Germany,948.0,95229.61,21.640695577772505,51.62173823876839,1.358085998672052,25.379480184787067
1880,India,3.0,276.38,66.7486793545119,0.0,0.0,33.2513206454881
1880,Ireland,3903.0,393654.73000000004,33.49733915301868,52.79058630897182,0.0,13.712074538009485
1880,Mexico,324.0,31216.619999999995,9.383238800356994,88.10454174731281,0.0,2.5122194523302013
1880,Oceania,8.0,730.71,48.704684484952985,0.0,0.0,51.295315515047
1880,Poland,13128.0,1316492.8599999999,14.278636497884237,79.92396100044175,0.0,5.797402501674032
1880,Scandinavia,220.0,22027.800000000003,13.856081860194841,74.7022398968576,0.0,11.441678242947544
1880,South America,25.0,2514.3500000000004,39.91886571081989,17.860679698530433,0.0,42.220454590649666
1880,South Asia,2.0,202.06,0.0,100.0,0.0,0.0
1880,Spain/Portugal,167.0,16227.649999999998,4.686815404571827,79.52747317079184,0.0,15.785711424636348
1880,Switzerland,533.0,53206.31,20.402674043736535,49.78101281596112,0.0,29.81631314030235
1880,US Territory,5.0,506.04,20.233578373251127,39.23010038732116,0.0,40.53632123942771
1880,United Kingdom,14837.0,1491224.32,14.614046128217653,77.1515656343373,2.56828027053636,5.666107966908694
1880,Unknown,5.0,497.65999999999997,61.36719848892819,38.63280151107182,0.0,0.0
1880,Western Europe,63.0,6275.63,13.759734082474587,73.21241054682956,0.0,13.027855370695848
1900,Africa,67.0,1316.45,51.99893653386,12.01412890728854,0.0,35.98693455885146
1900,Asia (Other),26.0,514.1700000000001,3.9578349573098386,76.87340762782736,0.0,19.168757414862785
1900,Atlantic Islands,2.0,39.7,50.0,0.0,0.0,50.0
1900,Austria,3003.0,58830.72,18.343239722376335,73.61079381656387,0.0,8.0459664610598
1900,Born Abroad (US parents),363.0,7132.91,64.27348725835598,2.1887280226443346,0.0,33.53778471899967
1900,Canada,33416.0,656273.8200000001,39.08877547484676,51.82313077794265,0.0,9.088093747210577
1900,Central America/Caribbean,569.0,11280.74,40.84022856656567,46.8930229754431,1.0506402948742726,11.216108163116958
1900,Central Europe,26301.0,516501.63,6.469942795727479,85.49761595137656,1.995730391015417,6.0367108618805325
1900,China,192.0,3747.45,27.213171623370556,69.64575911619902,0.0,3.1410692604304264
1900,Europe (Other),51.0,1042.3200000000002,28.624606646711182,61.06569959321513,0.0,10.309693760073682
1900,France,165.0,3238.3199999999997,41.35940858222782,32.47424590528423,0.0,26.166345512487965
1900,Germany,3897.0,76755.91,27.485766242625488,48.40773824452085,2.5062825781102713,21.6002129347434
1900,India,170.0,3363.7000000000003,65.74426970300561,21.30392127716502,0.0,12.951809019829355
1900,Ireland,25809.0,507913.13,40.11133360541398,44.785441951461266,0.0,15.103224443124752
1900,Italy,80.0,1588.7999999999997,1.2613293051359518,94.97734138972808,0.0,3.761329305135952
1900,Japan,18.0,353.09,38.88243790534991,55.492933812908895,0.0,5.6246282817412
1900,Mexico,2419.0,47475.54,23.226570987923463,75.04205323414962,0.0,1.7313757779269068
1900,Middle East,308.0,6065.779999999999,7.1695643429204505,86.9497410061031,0.0,5.880694650976461
1900,Oceania,193.0,3792.9700000000003,52.84697743456973,16.58172882991429,0.0,30.571293735515965
1900,Philippines,20.0,397.3399999999999,75.26803241556351,20.023153973926615,0.0,4.708813610509892
1900,Poland,88551.0,1741542.03,23.05831171929856,71.55829939975665,0.0,5.38338888094478
1900,Scandinavia,11496.0,226888.22,4.805066565377436,92.9477784258698,0.016721890629667772,2.2304331181231007
1900,South America,87.0,1708.65,58.774471073654645,9.193222719690983,0.0,32.032306206654376
1900,South Asia,2.0,39.7,0.0,100.0,0.0,0.0
1900,Spain/Portugal,11965.0,234813.63999999998,3.4519800468149975,89.63431596222433,0.0,6.913703990960663
1900,Switzerland,3456.0,67952.84,26.553077104650814,46.36430206596222,0.0,27.082620829386972
1900,US Territory,8.0,158.44,62.383236556425146,0.0,0.0,37.61676344357486
1900,United Kingdom,86485.0,1696481.77,20.508939509559244,68.779610876691,4.459428998167189,6.252020615582565
1900,Unknown,4.0,80.26,100.0,0.0,0.0,0.0
1900,Western Europe,1060.0,21009.619999999995,14.758572501549292,80.71293055276585,0.0,4.528496945684883
1910,Africa,19.0,1902.0,42.11356466876971,10.515247108307046,0.0,47.37118822292324
1910,Asia (Other),3.0,301.0,0.0,0.0,0.0,100.0
1910,Atlantic Islands,16.0,1600.0,31.25,62.5,0.0,6.25
